,temperature,humidity,pressure,pm1,pm10,pm25,latitude,longitude
140,1.5701906412478337,89.21837088388214,101567.69497400346,36.63258232235702,39.07279029462738,67.10225303292894,50.057747,19.961374
142,,,,,,,50.084816,19.878066
147,,,,,,,50.048924,19.962262
169,-4.8578680203045685,70.13451776649747,101089.46700507615,24.949238578680202,25.33248730964467,40.59390862944162,50.048699,20.101569
170,1.5918003565062389,56.23529411764706,101533.90909090909,31.023172905525847,34.79322638146168,53.90909090909091,50.077467,19.895577
171,1.417677642980936,85.69324090121317,101545.6897746967,32.53726169844021,35.91681109185442,56.802426343154245,50.084134000000006,19.968416
172,1.887128712871287,55.57029702970297,101477.95445544555,29.376237623762375,34.039603960396036,54.396039603960396,50.073094,19.88675
173,1.076256499133449,86.45927209705373,101532.19410745233,29.11265164644714,33.060658578856156,52.37608318890815,50.057536999999996,19.897547
174,1.0077220077220077,83.93436293436294,101405.3552123552,33.49420849420849,32.455598455598455,52.22393822393823,50.057241999999995,19.914873999999998
176,1.5216637781629117,86.75563258232236,101617.11091854419,30.270363951473136,33.175043327556324,58.237435008665514,50.044067,19.998804
177,1.4169611307420495,87.95053003533569,101568.35865724382,34.68021201413428,39.130742049469966,60.64487632508834,50.093619,19.924138
178,,,,,,,50.033195,19.900714
179,0.9494773519163763,88.39547038327527,101648.36236933798,30.726480836236934,34.646341463414636,54.89895470383275,50.077690000000004,19.935776999999998
180,1.4818024263431542,88.74350086655113,101651.44020797226,27.81109185441941,29.889081455805893,48.334488734835354,50.018006,19.983935
181,1.1507798960138649,89.63778162911612,101603.67764298094,32.04852686308492,35.89081455805893,56.49566724436742,50.055163,19.947015
182,0.9376083188908145,86.45580589254766,101577.4575389948,31.197573656845755,34.516464471403815,54.44887348353553,50.020586,20.02296
183,1.060428849902534,88.88109161793372,101583.59064327486,30.44249512670565,33.72904483430799,53.758284600389864,50.098304,19.879414999999998
184,1.3743500866551126,86.79549393414212,101551.02253032928,31.057192374350088,32.582322357019066,52.52166377816291,50.047736,19.919646
185,1.4126126126126126,88.87747747747748,101538.35675675675,35.203603603603604,37.66846846846847,59.263063063063065,50.08547,19.899209
187,,,,,,,50.096969,19.914773999999998
189,1.2741652021089631,88.34797891036906,101603.55711775045,28.43409490333919,31.557117750439367,50.37961335676626,50.062418,19.928368
192,1.0467937608318891,87.23223570190642,101548.48353552859,32.96013864818024,37.18544194107452,58.26169844020797,50.065128,19.867504
194,1.7256944444444444,-2446.9114583333335,101418.83159722222,28.66840277777778,32.07118055555556,50.53819444444444,50.073167,20.027745
195,0.8218923933209648,75.52875695732838,101700.41001855288,31.165120593692023,35.00742115027829,55.66975881261595,50.066686,19.997207999999997
196,1.2369337979094077,86.8397212543554,101673.09756097561,25.925087108013937,29.421602787456447,46.99303135888502,50.066747,19.962083
201,1.8544194107452339,85.79549393414212,101642.83708838822,32.552859618717505,35.190641247833625,55.729636048526864,50.054907,19.956501
202,0.9809358752166378,67.74176776429809,101768.57365684575,36.44887348353553,38.98786828422877,58.98266897746967,50.005587,19.928973000000003
203,1.18006993006993,87.33216783216783,,30.062937062937063,33.62762237762238,53.88986013986014,50.083453999999996,20.057153
204,2.2,85.44869565217391,101576.00173913043,29.817391304347826,33.60173913043478,53.194782608695654,50.062006,19.940984
205,,,,,,,50.088719,19.910314
208,1.488734835355286,74.42980935875217,101580.38474870018,37.190641247833625,39.99653379549393,62.25476603119584,50.099239000000004,19.953954
209,1.2369337979094077,83.71602787456446,101382.66202090592,30.797909407665504,34.11149825783972,53.853658536585364,50.108024,19.896124
210,1.5909878682842287,84.32755632582322,101551.3206239168,27.538994800693242,29.410745233968804,46.98266897746967,50.062677,20.018922
211,,,,,,,50.044424,19.952205
212,1.1022530329289428,70.37608318890814,101445.10918544194,25.61005199306759,28.256499133448873,45.838821490467936,50.055138,19.89457
213,,,,,,,50.067503,19.906294
214,1.211367673179396,77.47957371225577,101636.7975133215,32.3943161634103,35.43872113676732,56.91474245115453,50.071719,19.962347
215,1.4764492753623188,81.8876811594203,101535.68115942029,25.23913043478261,27.81340579710145,45.36413043478261,50.096693,19.993572
216,0.6798245614035088,76.79385964912281,101843.4649122807,39.23684210526316,38.526315789473685,60.55263157894737,50.043527000000005,19.925963
218,1.2062391681109186,108.54939341421144,101722.94974003466,33.10051993067591,38.20797227036395,59.63258232235702,50.042476,19.826992999999998
219,1.0594405594405594,84.37587412587412,101613.41783216783,28.564685314685313,31.81118881118881,50.58391608391609,50.107347,20.045773
220,1.8050089445438282,79.69051878354205,101590.71556350627,32.46153846153846,35.429338103756706,56.46153846153846,50.079671999999995,19.949189999999998
221,1.427255985267035,82.97974217311234,101511.61141804788,27.718232044198896,31.108655616942908,50.3683241252302,50.085346,20.007551
222,1.4783362218370883,79.5372616984402,101481.74003466204,38.440207972270365,41.84055459272097,61.45753899480069,50.040717,19.869575
223,1.4540727902946273,76.65164644714038,101634.83708838822,32.4159445407279,36.74696707105719,56.726169844020795,50.025251000000004,19.937998
225,1.6863084922010398,77.71923743500867,101570.1698440208,34.636048526863085,38.13344887348354,55.429809358752166,50.020756,19.844076
226,1.0918544194107451,70.57538994800693,101528.72963604852,30.67937608318891,34.26343154246101,53.74350086655112,49.99848,19.902375
227,,,,,,,50.03768,19.990546
228,1.548780487804878,86.8397212543554,101606.51742160278,30.527874564459932,34.13066202090592,53.890243902439025,50.013156,19.906306
263,1.2384473197781884,87.37892791127541,101626.49353049908,25.859519408502774,27.510166358595193,44.70425138632163,49.999615000000006,19.966073
3,,,,,,,50.057748,19.961375
622,1.3847487001733103,85.8578856152513,101814.99306759099,36.47140381282496,41.665511265164646,71.17677642980937,50.044418,19.9522
713,4.740088105726873,84.62995594713657,100985.32158590309,20.061674008810574,22.599118942731277,40.36563876651982,50.032902,19.90093
808,0.9822064056939501,89.33274021352314,101599.88256227758,38.05871886120996,44.33274021352313,75.3950177935943,50.09697,19.914773999999998
857,1.2391681109185442,76.34315424610053,101554.29809358752,33.59792027729636,41.310225303292896,88.96707105719237,50.037663,19.990601
895,0.7227036395147314,91.52859618717504,101610.52686308492,35.10571923743501,42.211438474870015,70.84055459272098,50.084965999999994,19.877998
