0,longitude,latitude,dochod_bud_pra_9,dochod_bud_pra_16,dochod_bud_pra_25,populacja_razem_9,populacja_razem_16,populacja_razem_25,budynki_all_9,budynki_all_16,budynki_all_25,budynki_mieszkalne_9,budynki_mieszkalne_16,budynki_mieszkalne_25,Przystanek autobusowy_1000,Przystanek autobusowy_2000,Oddział Banku_1000,Oddział Banku_2000,Przystanek tramwajowy_1000,Przystanek tramwajowy_2000,Hipermarket_1000,Hipermarket_2000,Stacja Paliw_1000,Stacja Paliw_3000,elevation
0,19.826993,49.99848,19917,29131,46965,93,147,172,33,53,73,28,46,59,0,2,0,0,0,0,0,0,0,2,246
1,19.854450600000003,49.99848,14609,29246,52527,159,245,510,49,94,173,45,79,144,1,6,0,0,0,0,0,0,0,1,219
2,19.8819082,49.99848,14398,34799,49735,23,44,72,16,22,27,6,10,14,2,25,0,0,0,0,0,0,0,3,227
3,19.9093658,49.99848,45613,76401,109682,1395,2573,4580,541,713,1014,456,598,855,15,35,0,0,0,0,0,0,0,6,252
4,19.9368234,49.99848,42329,74248,107282,904,1145,1397,181,259,359,152,220,302,6,42,0,0,0,6,0,1,0,8,218
5,19.964281,49.99848,36943,62916,105440,296,554,1107,106,213,303,90,179,249,6,35,0,0,0,6,0,1,0,5,245
6,19.9917386,49.99848,36903,70811,110513,316,484,1049,112,154,302,78,115,247,1,20,0,0,0,2,0,0,0,5,272
7,20.0191962,49.99848,43262,70776,102675,493,1292,1701,198,340,453,167,287,379,7,22,0,0,0,4,0,1,0,5,267
8,20.0466538,49.99848,38838,70357,109760,410,772,1215,146,332,516,122,256,388,4,17,0,0,0,0,0,0,4,5,255
9,20.074111399999996,49.99848,39352,70902,101459,551,1038,1401,212,380,530,173,320,437,0,10,0,0,0,0,0,0,0,4,239
10,19.826993,50.009434399999996,29135,43400,63555,99,273,353,37,86,108,32,77,98,0,0,0,0,0,0,0,0,0,2,264
11,19.854450600000003,50.009434399999996,9975,14781,47337,23,148,435,11,44,124,7,37,106,0,10,0,0,0,0,0,0,0,0,213
12,19.8819082,50.009434399999996,43609,64507,108683,388,1020,1783,106,195,392,82,159,320,13,29,0,0,0,4,0,0,0,1,238
13,19.9093658,50.009434399999996,38992,70514,114930,1715,2548,5680,282,430,755,262,386,684,8,43,0,0,0,14,0,1,0,7,243
14,19.9368234,50.009434399999996,31740,56003,80136,291,1088,1578,139,175,325,112,140,260,21,43,0,0,6,10,1,2,2,11,214
15,19.964281,50.009434399999996,44341,79746,123664,7519,13186,17585,257,365,614,221,313,508,17,51,0,0,5,11,1,1,3,11,254
16,19.9917386,50.009434399999996,35357,66110,102024,210,601,1340,80,220,364,65,186,313,12,48,0,1,5,19,0,0,0,7,246
17,20.0191962,50.009434399999996,42885,71871,111444,6680,7605,11832,149,276,398,123,237,328,13,27,1,1,6,10,1,1,1,6,235
18,20.0466538,50.009434399999996,45851,80604,123671,1226,1441,2136,340,420,662,310,369,565,0,12,0,0,0,2,0,1,0,5,210
19,20.074111399999996,50.009434399999996,37485,67079,105922,951,1682,2411,295,539,782,258,469,681,1,4,0,0,0,0,0,0,0,1,224
20,19.826993,50.0203888,35138,40065,71981,89,89,196,21,21,49,18,18,43,0,0,0,0,0,0,0,0,0,2,205
21,19.854450600000003,50.0203888,6399,21284,36162,5,174,332,6,70,123,2,49,94,0,4,0,0,0,0,0,0,0,1,216
22,19.8819082,50.0203888,43728,67498,97815,677,927,1815,205,285,403,180,246,341,5,25,0,0,2,8,0,0,0,2,223
23,19.9093658,50.0203888,42875,77695,124724,3832,6903,11448,280,462,683,243,398,598,10,39,0,0,6,26,0,3,1,10,221
24,19.9368234,50.0203888,34141,63004,102756,1010,2616,4032,231,506,727,193,432,622,5,55,0,1,4,27,0,3,2,18,218
25,19.964281,50.0203888,44719,79073,123684,3624,8092,11623,366,612,1024,293,495,818,13,57,0,1,5,20,1,2,4,16,246
26,19.9917386,50.0203888,44987,80263,125619,3149,6084,11495,329,673,983,269,536,799,17,49,0,1,10,20,0,0,1,9,218
27,20.0191962,50.0203888,38864,63099,99416,2774,5889,7196,261,358,465,229,309,394,8,36,1,1,8,10,1,1,0,6,202
28,20.0466538,50.0203888,34510,64131,94341,2430,3223,4980,77,259,404,69,234,371,5,12,0,0,0,3,0,1,0,4,202
