,pm1,pm10,pm25,latitude,longitude,dochod_bud_pra_9,dochod_bud_pra_16,dochod_bud_pra_25,populacja_razem_9,populacja_razem_16,populacja_razem_25,budynki_all_9,budynki_all_16,budynki_all_25,budynki_mieszkalne_9,budynki_mieszkalne_16,budynki_mieszkalne_25,Przystanek autobusowy_1000,Przystanek autobusowy_2000,Oddział Banku_1000,Oddział Banku_2000,Przystanek tramwajowy_1000,Przystanek tramwajowy_2000,Hipermarket_1000,Hipermarket_2000,Stacja Paliw_1000,Stacja Paliw_3000,elevation
140,36.63258232235702,39.07279029462738,67.10225303292894,50.057747,19.961374,47264,78228,113184,3743,6098,9967,169,291,382,118,198,258,11,63,1,2,17,75,0,2,1,17,203
169,24.949238578680202,25.33248730964467,40.59390862944162,50.048699,20.101569,23303,40365,40365,26,59,59,17,24,24,13,20,20,1,1,0,0,0,0,0,0,0,2,194
170,31.023172905525847,34.79322638146168,53.90909090909091,50.077467,19.895577,49075,86772,134273,4841,9577,12245,428,727,961,373,621,795,15,59,0,1,8,17,0,1,2,11,214
171,32.53726169844021,35.91681109185442,56.802426343154245,50.084134000000006,19.968416,45083,82969,127968,6735,9858,15853,243,597,898,188,484,740,18,65,1,1,0,8,1,1,4,16,211
172,29.376237623762375,34.039603960396036,54.396039603960396,50.073094,19.88675,51116,88910,136971,1404,2886,6728,327,592,806,284,508,698,13,44,0,0,3,13,0,0,2,9,206
173,29.11265164644714,33.060658578856156,52.37608318890815,50.057536999999996,19.897547,48662,79926,111784,965,1498,1730,300,419,499,271,372,438,8,38,0,0,1,12,0,0,0,8,233
174,33.49420849420849,32.455598455598455,52.22393822393823,50.057241999999995,19.914873999999998,49519,81955,113318,3545,6313,7028,262,508,619,207,388,469,16,61,0,2,14,50,0,0,1,11,204
176,30.270363951473136,33.175043327556324,58.237435008665514,50.044067,19.998804,40474,61016,95163,4091,4854,6205,55,130,252,38,94,194,13,37,0,0,2,9,0,0,1,13,197
177,34.68021201413428,39.130742049469966,60.64487632508834,50.093619,19.924138,46257,81487,123223,4729,7676,12735,154,278,467,96,196,336,21,62,0,1,2,6,0,2,2,14,224
179,30.726480836236934,34.646341463414636,54.89895470383275,50.077690000000004,19.935776999999998,34463,66583,108606,1192,4908,9956,104,337,633,70,225,429,22,90,1,3,9,41,1,2,2,17,219
180,27.81109185441941,29.889081455805893,48.334488734835354,50.018006,19.983935,44448,79560,124040,8239,12613,15598,194,421,687,131,311,535,13,50,0,1,12,21,0,1,2,10,240
181,32.04852686308492,35.89081455805893,56.49566724436742,50.055163,19.947015,44864,79631,124912,7530,12353,17041,522,1114,1517,359,567,808,14,72,0,3,26,83,0,1,1,15,208
